"","MUNIC_RES","ANO_MES_INTERNACAO","n_internacoes"
"675","280060","2019-07",2
"676","280070","2019-07",1
"677","280120","2019-07",1
"678","280130","2019-07",3
"679","280200","2019-07",1
"680","280210","2019-07",7
"681","280240","2019-07",1
"682","280260","2019-07",1
"683","280270","2019-07",1
"684","280290","2019-07",1
"685","280350","2019-07",2
"686","280445","2019-07",1
"687","280450","2019-07",2
"688","280460","2019-07",1
"689","280470","2019-07",1
"690","280480","2019-07",4
"691","280520","2019-07",1
"692","280550","2019-07",1
"693","280570","2019-07",2
"694","280580","2019-07",1
"695","280590","2019-07",10
"696","280600","2019-07",1
"697","280630","2019-07",1
"698","280650","2019-07",1
"699","280670","2019-07",6
"700","280690","2019-07",1
"701","280710","2019-07",2
"702","280750","2019-07",2
"703","280760","2019-07",2
"704","280020","2019-08",5
"705","280030","2019-08",7
"706","280050","2019-08",1
"707","280067","2019-08",3
"708","280100","2019-08",1
"709","280120","2019-08",2
"710","280130","2019-08",2
"711","280140","2019-08",1
"712","280170","2019-08",1
"713","280200","2019-08",2
"714","280210","2019-08",5
"715","280260","2019-08",1
"716","280280","2019-08",3
"717","280290","2019-08",5
"718","280300","2019-08",1
"719","280450","2019-08",1
"720","280460","2019-08",1
"721","280480","2019-08",3
"722","280490","2019-08",1
"723","280540","2019-08",1
"724","280590","2019-08",7
"725","280650","2019-08",2
"726","280670","2019-08",5
"727","280690","2019-08",1
"728","280700","2019-08",1
"729","280710","2019-08",2
"730","280720","2019-08",1
"731","280740","2019-08",1
"732","280750","2019-08",1
"733","280760","2019-08",3
"734","291075","2019-08",1
"735","292310","2019-08",1
"736","500740","2019-08",1
"737","280010","2019-09",1
"738","280020","2019-09",7
"739","280030","2019-09",18
"740","280067","2019-09",2
"741","280110","2019-09",1
"742","280130","2019-09",4
"743","280140","2019-09",1
"744","280200","2019-09",1
"745","280210","2019-09",6
"746","280230","2019-09",2
"747","280240","2019-09",1
"748","280280","2019-09",3
"749","280290","2019-09",1
"750","280300","2019-09",3
"751","280350","2019-09",5
"752","280360","2019-09",2
"753","280440","2019-09",3
"754","280450","2019-09",2
"755","280460","2019-09",1
"756","280480","2019-09",5
"757","280520","2019-09",1
"758","280550","2019-09",1
"759","280560","2019-09",1
"760","280570","2019-09",2
"761","280580","2019-09",2
"762","280590","2019-09",5
"763","280630","2019-09",1
"764","280660","2019-09",1
"765","280670","2019-09",6
"766","280710","2019-09",3
"767","280740","2019-09",1
"768","280760","2019-09",6
"769","292380","2019-09",1
"770","270750","2019-10",1
"771","280020","2019-10",7
"772","280030","2019-10",15
"773","280067","2019-10",2
"774","280100","2019-10",1
"775","280110","2019-10",1
"776","280140","2019-10",1
"777","280150","2019-10",1
"778","280190","2019-10",1
"779","280210","2019-10",14
"780","280270","2019-10",1
"781","280300","2019-10",1
"782","280330","2019-10",1
"783","280350","2019-10",6
"784","280360","2019-10",2
"785","280390","2019-10",2
"786","280410","2019-10",1
"787","280430","2019-10",3
"788","280450","2019-10",1
"789","280460","2019-10",2
"790","280480","2019-10",6
"791","280490","2019-10",1
"792","280530","2019-10",1
"793","280540","2019-10",1
"794","280560","2019-10",2
"795","280570","2019-10",1
"796","280590","2019-10",4
"797","280610","2019-10",1
"798","280650","2019-10",1
"799","280660","2019-10",2
"800","280670","2019-10",4
"801","280710","2019-10",2
"802","280740","2019-10",1
"803","280760","2019-10",2
"804","291790","2019-10",2
"805","280020","2019-11",8
"806","280030","2019-11",23
"807","280040","2019-11",4
"808","280060","2019-11",1
"809","280100","2019-11",1
"810","280120","2019-11",1
"811","280130","2019-11",7
"812","280140","2019-11",1
"813","280150","2019-11",2
"814","280170","2019-11",3
"815","280210","2019-11",5
"816","280300","2019-11",1
"817","280320","2019-11",1
"818","280330","2019-11",1
"819","280340","2019-11",1
"820","280350","2019-11",5
"821","280390","2019-11",1
"822","280400","2019-11",1
"823","280450","2019-11",1
"824","280460","2019-11",3
"825","280470","2019-11",1
"826","280480","2019-11",6
"827","280490","2019-11",1
"828","280520","2019-11",1
"829","280550","2019-11",1
"830","280590","2019-11",3
"831","280620","2019-11",2
"832","280670","2019-11",5
"833","280710","2019-11",1
"834","280720","2019-11",1
"835","280740","2019-11",2
"836","280750","2019-11",4
"837","292700","2019-11",1
"838","270750","2019-12",1
"839","280020","2019-12",9
"840","280030","2019-12",16
"841","280040","2019-12",1
"842","280067","2019-12",1
"843","280100","2019-12",1
"844","280130","2019-12",5
"845","280150","2019-12",1
"846","280170","2019-12",2
"847","280200","2019-12",4
"848","280210","2019-12",4
"849","280280","2019-12",2
"850","280290","2019-12",1
"851","280300","2019-12",3
"852","280330","2019-12",1
"853","280350","2019-12",3
"854","280360","2019-12",3
"855","280370","2019-12",1
"856","280420","2019-12",1
"857","280440","2019-12",1
"858","280450","2019-12",2
"859","280460","2019-12",2
"860","280480","2019-12",6
"861","280490","2019-12",1
"862","280520","2019-12",1
"863","280530","2019-12",1
"864","280540","2019-12",1
"865","280560","2019-12",1
"866","280570","2019-12",1
"867","280590","2019-12",6
"868","280600","2019-12",1
"869","280620","2019-12",1
"870","280710","2019-12",5
"871","280740","2019-12",1
"872","280760","2019-12",3
"873","290570","2019-12",1
"874","290780","2019-12",2
"875","292700","2019-12",1
"876","270820","2020-01",1
"877","280020","2020-01",14
"878","280030","2020-01",20
"879","280040","2020-01",1
"880","280067","2020-01",2
"881","280100","2020-01",1
"882","280130","2020-01",3
"883","280140","2020-01",1
"884","280170","2020-01",1
"885","280200","2020-01",5
"886","280210","2020-01",5
"887","280250","2020-01",1
"888","280280","2020-01",1
"889","280290","2020-01",2
"890","280310","2020-01",1
"891","280340","2020-01",1
"892","280350","2020-01",2
"893","280370","2020-01",1
"894","280380","2020-01",1
"895","280410","2020-01",1
"896","280445","2020-01",1
"897","280480","2020-01",6
"898","280490","2020-01",1
"899","280540","2020-01",1
"900","280550","2020-01",1
"901","280570","2020-01",3
"902","280580","2020-01",1
"903","280590","2020-01",13
"904","280600","2020-01",1
"905","280650","2020-01",2
"906","280670","2020-01",4
"907","280710","2020-01",2
"908","280740","2020-01",1
"909","280750","2020-01",5
"910","290035","2020-01",1
"911","290920","2020-01",1
"912","291075","2020-01",1
"913","292380","2020-01",1
"914","280020","2020-02",9
"915","280030","2020-02",16
"916","280067","2020-02",1
"917","280130","2020-02",3
"918","280140","2020-02",1
"919","280170","2020-02",1
